"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins","Round 1 P 1-All","P1 0.33  ","P1 0.67  ","Round 1 D 1-All","D1 0.33  ","D1 0.67  "
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","All","1","0","1","0.5","1","0.314946","1","1","0.530664","0.366176","","","0.147115","","","","","0.0528842","0.0853518","0.029594","0.135215","25.4024","24.0125","25.4024","24.0125","0.585167","0.515611","0.286935","0","0","0.147115","0.389577","0.0528842","0.0853518","0.0487439","0.5","0","-2.37907E-16","1","0.314946","0","0.685054","0.147115","0.0528842","0.0853518","0.0255929","0.0040016","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Rounds1","0.3149","0","0.314946","0.346904","1","1","1","1","0.530664","0.366176","","","0.467113","","","","","0.167915","0.271005","0.093967","0.135215","24.9725","24.0396","24.9725","24.0396","0.987934","0.605516","0.453653","0","0","0.467113","0.389577","0.167915","0.271005","0.154769","0.444053","0","0.219796","1","1","0","0","0.467113","0.167915","0.271005","0.0812612","0.0127057","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary6","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary7","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary8","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary9","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PrePrimary10","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable","0.5","0","0.5","0.520302","1","0.279705","1","1","0.53213","0.366349","","","0.129685","","","","","0.0464662","0.077562","0.025991","0.135266","25.4262","24.0099","25.4262","24.0099","0.563865","0.0462646","0.57387","0","0","0.129685","0.39052","0.0464662","0.077562","0.0428543","1","0","-3.79686E-16","1","0.279705","0","0.720295","0.129685","0.0464662","0.077562","0.0224756","0.0035157","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable","0.5","0","0.5","0.479698","1","0.350186","1","1","0.529493","0.366038","","","0.164545","","","","","0.0593021","0.0931416","0.033198","0.135175","25.3785","24.015","25.3785","24.015","0.60647","0.984958","0","0","0","0.164545","0.388834","0.0593021","0.0931416","0.0546335","0","0","8.17751E-17","1","0.350186","0","0.649814","0.164545","0.0593021","0.0931416","0.0287102","0.0044875","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","AllCount","160","0","160","0.5","160","50.3913","160","160","0.530664","0.366176","","","23.5384","","","","","8.46147","13.6563","4.73512","6.4903","25.4024","24.0125","25.4024","24.0125","0.585167","0.515611","0.286935","0","0","23.5384","0.389577","8.46147","13.6563","7.79902","80","0","-2.37907E-16","160","50.3913","0","109.609","23.5384","8.46147","13.6563","4.09486","0.640257","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Liability Strength1","0.5","0","0.5","0.333333","1","0.604248","1","1","0.525093","0.36552","","","0.290202","","","","","0.105571","0.149301","0.059174","0.13503","25.2064","24.0336","25.2064","24.0336","0.760047","0.583384","0.348574","0","0","0.290202","0.386119","0.105571","0.149301","0.0970937","0.439094","0","-4.00774E-18","1","0.604248","0","0.395752","0.290202","0.105571","0.149301","0.0511837","0.0079903","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Liability Strength2","0.5","0","0.5","0.666667","1","0.0256435","1","1","0.661931","0.381652","","","0.00402867","","","","","0.000197328","0.0214026","1.497E-5","0.86497","25.5983","23.9914","25.5983","23.9914","0.410287","0.447839","0.225296","0","0","0.00402867","0.63871","0.000197328","0.0214026","0.000394099","0.560906","0","-3.99348E-16","1","0.0256435","0","0.974356","0.00402867","0.000197328","0.0214026","2.02169E-6","1.295E-05","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PLiabilitySignal1","0.101","0","0.101001","0.333359","1","0.604204","1","1","0.333333","0.36552","","","0.604204","","","","","0","0","0","","25.2069","24.1514","25.2069","24.1514","0.641681","0.475977","0.34824","0","0","0.604204","0.349427","0","0","0","0.439103","0","-0.845941","1","0.604204","0","0.395796","0.604204","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PLiabilitySignal2","0.399","0","0.398999","0.353298","1","0.569593","1","1","0.5677","0.365563","","","0.207834","","","","","0.132542","0.167165","0.062052","0.135034","25.2293","24.0188","25.2293","24.0188","0.75194","0.588398","0.341509","0","0","0.207834","0.40855","0.132542","0.167165","0.122165","0.446389","0","0.075799","1","0.569593","0","0.430407","0.207834","0.132542","0.167165","0.0536726","0.0083791","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PLiabilitySignal3","0.399","0","0.398999","0.646702","1","0.0602985","1","1","0.666667","0.371969","","","0.0069891","","","","","0","0.0411971","0.012112","0.135906","25.5752","23.9765","25.5752","23.9765","0.448344","0.46993","0.232501","0","0","0.0069891","0.666667","0","0.0411971","0","0.553611","0","-0.075799","1","0.0602985","0","0.939701","0.0069891","0","0.0411971","0.0104662","0.0016461","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PLiabilitySignal4","0.101","0","0.101001","0.666641","1","0.0256879","1","1","0.666667","0.381623","","","0.00372137","","","","","0","0.0219355","3.094E-5","0.5","25.5987","23.9909","25.5987","23.9909","0.410337","0.448165","0.225074","0","0","0.00372137","0.666667","0","0.0219355","0","0.560897","0","0.845941","1","0.0256879","0","0.974312","0.00372137","0","0.0219355","1.5469E-05","1.5469E-5","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DLiabilitySignal1","0.101","0","0.101001","0.333359","1","1","1","1","0.525103","0.333333","","","0.42469","","","","","0.282297","0","0.293013","0.135215","24.4905","24.1235","24.4905","24.1235","1.38603","0.561522","0.663334","0","0","0.42469","0.333333","0.282297","0","0","0.439103","0","0.845941","1","1","0","0","0.42469","0.282297","0","0.253393","0.0396196","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DLiabilitySignal2","0.399","0","0.398999","0.353298","1","0.536204","1","1","0.533289","0.381681","","","0.261207","","","","","0.0610827","0.213915","0","","25.3855","24","25.3855","24","0.614482","0.592579","0.272986","0","0","0.261207","0.412725","0.0610827","0.213915","0.122165","0.446389","0","-0.075799","1","0.536204","0","0.463796","0.261207","0.0610827","0.213915","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DLiabilitySignal3","0.399","0","0.398999","0.646702","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","0.446389","0.221444","0","0","0","","0","0","0","0.553611","0","0.075799","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DLiabilitySignal4","0.101","0","0.101001","0.666641","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","0.439103","0.224359","0","0","0","","0","0","0","0.560897","0","-0.845941","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability3","3.1E-6","0","3.12475E-06","0.5","1","1","1","1","0.666667","0.333333","","","0","","","","","0","0","1","0.5","24.4956","22.7044","24.4956","22.7044","2.8","1.7956","0.817061","0","0","0","","0","0","0","0.5","0","3","1","1","0","0","0","0","0","0.5","0.5","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability2","0.0097","0","0.0096656","0.5","1","0.768102","1","1","0.666667","0.350209","","","0.0388865","","","","","0","0.229216","0.5","0.135906","24.6593","23.6334","24.6593","23.6334","1.70724","0.866574","0.615626","0","0","0.0388865","0.666667","0","0.229216","0","0.5","0","2","1","0.768102","0","0.231898","0.0388865","0","0.229216","0.432047","0.0679532","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability1","0.1874","0","0.187387","0.5","1","0.506928","1","1","0.587731","0.343119","","","0.134926","","","","","0.152157","0.08772","0.132125","0.135034","25.1175","24.0155","25.1175","24.0155","0.867021","0.538633","0.412403","0","0","0.134926","0.370098","0.152157","0.08772","0","0.5","0","1","1","0.506928","0","0.493072","0.134926","0.152157","0.08772","0.114284","0.0178413","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability0","0.6059","0","0.605888","0.5","1","0.283717","1","1","0.539888","0.375944","","","0.133408","","","","","0.0402252","0.110084","0","","25.4811","24.0054","25.4811","24.0054","0.513487","0.517083","0.252242","0","0","0.133408","0.4105","0.0402252","0.110084","0.0804504","0.5","0","0","1","0.283717","0","0.716283","0.133408","0.0402252","0.110084","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability-1","0.1874","0","0.187387","0.5","1","0.216801","1","1","0.333333","0.381681","","","0.216801","","","","","0","0","0","","25.4607","24.0526","25.4607","24.0526","0.48672","0.470512","0.261163","0","0","0.216801","0.357507","0","0","0","0.5","0","-1","1","0.216801","0","0.783199","0.216801","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability-2","0.0097","0","0.0096656","0.5","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","0.5","0.2","0","0","0","","0","0","0","0.5","0","-2","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability-3","3.1E-6","0","3.12475E-06","0.5","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","0.5","0.2","0","0","0","","0","0","0","0.5","0","-3","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability-4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","MutOptLiability-5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability3","1.6E-6","0","1.56238E-06","0.520302","1","1","1","1","0.666667","0.333333","","","0","","","","","0","0","1","0.544458","24.5873","22.6127","24.5873","22.6127","2.8","1.3873","1.63412","0","0","0","","0","0","0","1","0","3","1","1","0","0","0","0","0","0.455542","0.544458","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability2","0.0048","0","0.0048328","0.520302","1","0.739922","1","1","0.666667","0.35298","","","0.043612","","","","","0","0.25707","0.43924","0.136149","24.7707","23.6548","24.7707","23.6548","1.57445","0.345161","1.23125","0","0","0.043612","0.666667","0","0.25707","0","1","0","2","1","0.739922","0","0.260078","0.043612","0","0.25707","0.379438","0.0598022","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability1","0.0937","0","0.0936937","0.520302","1","0.457676","1","1","0.589886","0.344172","","","0.120303","","","","","0.133622","0.08772","0.116031","0.135035","25.1756","24.0092","25.1756","24.0092","0.815132","0.0990605","0.824807","0","0","0.120303","0.374567","0.133622","0.08772","0","1","0","1","1","0.457676","0","0.542324","0.120303","0.133622","0.08772","0.100362","0.0156681","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability0","0.3029","0","0.302944","0.520302","1","0.249403","1","1","0.539916","0.37595","","","0.117255","","","","","0.0353649","0.096783","0","","25.4955","24.0047","25.4955","24.0047","0.499761","0.0402078","0.504484","0","0","0.117255","0.410522","0.0353649","0.096783","0.0707297","1","0","0","1","0.249403","0","0.750597","0.117255","0.0353649","0.096783","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability-1","0.0937","0","0.0936937","0.520302","1","0.190392","1","1","0.333333","0.381681","","","0.190392","","","","","0","0","0","","25.4777","24.0462","25.4777","24.0462","0.476157","0","0.522326","0","0","0.190392","0.357507","0","0","0","1","0","-1","1","0.190392","0","0.809608","0.190392","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability-2","0.0048","0","0.0048328","0.520302","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","0","0.4","0","0","0","","0","0","0","1","0","-2","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability-3","1.6E-6","0","1.56238E-06","0.520302","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","0","0.4","0","0","0","","0","0","0","1","0","-3","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability-4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Liable MutOptLiability-5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability3","1.6E-6","0","1.56238E-06","0.479698","1","1","1","1","0.666667","0.333333","","","0","","","","","0","0","1","0.455542","24.4039","22.7961","24.4039","22.7961","2.8","2.20389","0","0","0","0","","0","0","0","0","0","3","1","1","0","0","0","0","0","0.544458","0.455542","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability2","0.0048","0","0.0048328","0.479698","1","0.796282","1","1","0.666667","0.347634","","","0.034161","","","","","0","0.201361","0.56076","0.135716","24.548","23.612","24.548","23.612","1.84003","1.38799","0","0","0","0.034161","0.666667","0","0.201361","0","0","0","2","1","0.796282","0","0.203718","0.034161","0","0.201361","0.484656","0.0761043","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability1","0.0937","0","0.0936937","0.479698","1","0.556179","1","1","0.585957","0.342252","","","0.149549","","","","","0.170691","0.08772","0.148219","0.135033","25.0593","24.0218","25.0593","24.0218","0.91891","0.978206","0","0","0","0.149549","0.366504","0.170691","0.08772","0","0","0","1","1","0.556179","0","0.443821","0.149549","0.170691","0.08772","0.128205","0.0200145","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability0","0.3029","0","0.302944","0.479698","1","0.318031","1","1","0.539867","0.375939","","","0.14956","","","","","0.0450855","0.123385","0","","25.4667","24.006","25.4667","24.006","0.527213","0.993959","0","0","0","0.14956","0.410483","0.0450855","0.123385","0.0901711","0","0","0","1","0.318031","0","0.681969","0.14956","0.0450855","0.123385","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability-1","0.0937","0","0.0936937","0.479698","1","0.24321","1","1","0.333333","0.381681","","","0.24321","","","","","0","0","0","","25.4437","24.059","25.4437","24.059","0.497284","0.941023","0","0","0","0.24321","0.357507","0","0","0","0","0","-1","1","0.24321","0","0.75679","0.24321","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability-2","0.0048","0","0.0048328","0.479698","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","1","0","0","0","0","","0","0","0","0","0","-2","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability-3","1.6E-6","0","1.56238E-06","0.479698","1","0","1","1","","","","","0","","","","","0","0","0","","25.6","24","25.6","24","0.4","1","0","0","0","0","","0","0","0","0","0","-3","1","0","0","1","0","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability-4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Truly Not Liable MutOptLiability-5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability-1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability-2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability-3","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability-4","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","High Quality Liable MutOptLiability-5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
